[NÚMERO DE SERIES]
7

[NÚMERO DE REGISTROS]
16802

[VALOR DE DATOS FALTANTES]
-9999

[COORDENADAS X]
711505.202714 743514.182235 743452.700708 713949.957734 712890.563892 740998.343372 736963.676353

[COORDENADAS Y]
9675403.21389 9702309.26183 9704336.42371 9685345.21764 9682859.7167 9702845.20844 9702775.18491

[COORDENADAS Z]
2966.0 2894.0 2957.0 3021.0 2826.0 2810.0 2953.0

[MATRIZ DE DATOS]
Año Mes Día  SUSTAG CEBOLLAR Llaucay Nudpud TIXAN Uchucupun Zhindilig
1980 8 12 11140.6 75452.3 3888 3888 49026.5 6912 2592
1980 8 13 11140.6 75452.3 3888 3888 49026.5 6912 2592
1980 8 14 11140.6 75452.3 3888 3888 49026.5 6912 2592
1980 8 15 11140.6 75452.3 3888 3888 49026.5 6912 2592
1980 8 16 11140.6 75452.3 3888 3888 49026.5 6912 2592
1980 8 17 11140.6 75452.3 3888 3888 49026.5 6912 2592
1980 8 18 11140.6 75452.3 3888 3888 49026.5 6912 2592
1980 8 19 11140.6 75452.3 3888 3888 49026.5 6912 2592
1980 8 20 11140.6 75452.3 3888 3888 49026.5 6912 2592
1980 8 21 11140.6 75452.3 3888 3888 49026.5 6912 2592
1980 8 22 11140.6 75452.3 3888 3888 49026.5 6912 2592
1980 8 23 11140.6 75452.3 3888 3888 49026.5 6912 2592
1980 8 24 11140.6 75452.3 3888 3888 49026.5 6912 2592
1980 8 25 11140.6 75452.3 3888 3888 49026.5 6912 2592
1980 8 26 11140.6 75452.3 3888 3888 49026.5 6912 2592
1980 8 27 11140.6 75452.3 3888 3888 49026.5 6912 2592
1980 8 28 11140.6 75452.3 3888 3888 49026.5 6912 2592
1980 8 29 11140.6 75452.3 3888 3888 49026.5 6912 2592
1980 8 30 11140.6 75452.3 3888 3888 49026.5 6912 2592
1980 8 31 11140.6 75452.3 3888 3888 49026.5 6912 2592
1980 9 1 11766.6 78694.4 3888 3888 50459.9 6912 2592
1980 9 2 11766.6 78694.4 3888 3888 50459.9 6912 2592
